from,to,time,relationship
fynn,vivaconagua,2,2
vivaconagua,fynn,2,2
fynn,toom,1,2
toom,fynn,1,2
fynn,jever,2,2
jever,fynn,2,2
fynn,berentzen,,2
berentzen,fynn,,2
fynn,ewe,2,2
ewe,fynn,2,2
fynn,tomorrow,,2
tomorrow,fynn,,2
fynn,aboutyou,2,2
aboutyou,fynn,2,2
tafel,fynn,,2
fynn,tafel,,2
vaay,fynn,1,2
fynn,vaay,1,2
stpauli,fynn,,2
fynn,stpauli,,2
nordpool,fynn,,2
fynn,nordpool,,2
ndr,fynn,,2
fynn,ndr,,2
greenlife,fynn,,2
fynn,greenlife,,2
funk,fynn,4,2
fynn,funk,4,2
fynn,agantty,,1
fkvv,fynn,,1
fynn,fkvv,,1
floss,fynn,,1
fynn,floss,,1
fynn,oderso,,1
fynn,texas,,1
fynn,twofingers,,1
fynn,kliemannsland,7,1
fynn,herrlich,,1
fynn,ldgg,,1
bottmann,herrlich,,1
bottmann,agantty,,1
tietjen,twofingers,,1
schäfer,kliemannsland,7,1
frank,kliemannsland,7,1
junker,kliemannsland,7,1
dahl,erdbeerhof,,1
dahl,karlsinvestions,,1
erdbeerhof,karlsinvestions,,5
dahl,kliemannsland,2,4
karlsinvestions,kliemannsland,2,3
illbruck,globaltactics,5,1
globaltactics,oderso,,7
globaltactics,aboutyou,,7
oderso,globaltactics,,6
aboutyou,globaltactics,,6
joko,kliemannsland,,3
daur,kliemannsland,,3
westermeyer,kliemannsland,,3
kantereit,kliemannsland,,3
mueller,kliemannsland,,3
vivaconagua,kliemannsland,,4
seidel,vivaconagua,,1
haßfeld,toom,,1
reitze,jever,,1
schwegmann,berentzen,,1
dohler,ewe,,1
nureldin,tomorrow,,1
schweikart,tomorrow,,1
berndt,tomorrow,,1
betz,aboutyou,,1
mueller,aboutyou,,1
wiese,aboutyou,,1
bruehl,tafel,,1
witte,vaay,,1
bornemann,stpauli,,1
geldern,stpauli,,1
drust,stpauli,,1
michael,stpauli,,1
urban,stpauli,,1
kunze,stpauli,,1
darell,nordpool,,1
rasmussen,funk,,1
klein,funk,,1
neumann,greenlife,,1
sanitycare,vaay,,5
sanitycare,haensel,,1
joko,kliemannsland,,3
joko,schokowinterscheidt,,1
schokowinterscheidt,vivaconagua,,2
vivaconagua,schokowinterscheidt,,2
daur,kliemannsland,,3
mueller,kliemannsland,,3
westermeyer,kliemannsland,,3
